OBJECTID,Shape,ID_PARADERO,ID_PARADA,ID_RUTA,NRO_PARADA,DIRECCION,TIPO_PARADA,RECORRIDO,CODIGO_RUTA,NOMBRE_RUTA,SISTEMA_RUTA,TIPO_RUTA,EMPRESA,X_MAGNAMED,Y_MAGNAMED,LONGITUD,LATITUD
44,"(826918.0583, 1187017.4538000003)",50279,90091008,90091,8.0,"CR 136C 66-420, Medellin",Reglamentaria,Destino-Origen,255V3,Izquierda Vereda Boquerón - Parque San Cristóbal,2A,Directa No Centro,Rápido San Cristóbal,826918.0583,1187017.4538,-75.64132815,6.28525951
45,"(826961.3958, 1186402.1831999999)",50282,90331011,90331,11.0,"CL 63 139-41 (012, Medellin",Reglamentaria,Origen-Destino,C23i,La Palma-estación San Javier,8A,Integrada,Tax Maya,826961.3958,1186402.1832,-75.64093579,6.27969723
46,"(826961.3958, 1186402.1831999999)",50282,90334004,90334,4.0,"CL 63 139-41 (012, Medellin",Reglamentaria,Origen-Destino,C23i,San Cristóbal-Calle Negra-estación Aurora,8A,Integrada,Tax Maya,826961.3958,1186402.1832,-75.64093579,6.27969723
47,"(826961.3958, 1186402.1831999999)",50282,90328009,90328,9.0,"CL 63 139-41 (012, Medellin",Reglamentaria,Origen-Destino,C23i IZQUIERA,San Cristóbal-estación San Javier,8A,Integrada,Tax Maya,826961.3958,1186402.1832,-75.64093579,6.27969723
48,"(826961.3958, 1186402.1831999999)",50282,90355009,90355,9.0,"CL 63 139-41 (012, Medellin",Reglamentaria,Origen-Destino,C23i DERECHA,San Cristóbal-estación San Javier,8A,Integrada,Tax Maya,826961.3958,1186402.1832,-75.64093579,6.27969723
49,"(826963.5638, 1186971.9985)",50283,90353008,90353,8.0,"CR 136C 66-387, Medellin",Reglamentaria,Origen-Destino,255 V3 HOR ESP,Boqueron Centro Horario Especial,2A,Directa Centro,Rápido San Cristóbal,826963.5638,1186971.9985,-75.64091695,6.28484863
50,"(826963.5638, 1186971.9985)",50283,90090008,90090,8.0,"CR 136C 66-387, Medellin",Reglamentaria,Origen-Destino,255V3 ,Derecha Vereda Boquerón - Parque San Cristóbal,2A,Directa No Centro,Rápido San Cristóbal,826963.5638,1186971.9985,-75.64091695,6.28484863
51,"(820985.5944000004, 1194238.2186000003)",50008,90086011,90086,11.0,"CR 197 x CL 140, Medellin",Reglamentaria,Origen-Destino,255P,Palmitas-Centro,2A,Directa Centro,Rápido San Cristóbal,820985.5944,1194238.2186,-75.6949441,6.35052814
52,"(821572.8442000002, 1192763.4586)",50016,90086009,90086,9.0,"CR 195 x CL 126, Medellin",Reglamentaria,Origen-Destino,255P,Palmitas-Centro,2A,Directa Centro,Rápido San Cristóbal,821572.8442,1192763.4586,-75.68963444,6.33719689
53,"(824802.9242000002, 1191390.2711000002)",50046,90353094,90353,94.0,"CL 112 107-901, Medellin",Reglamentaria,Destino-Origen,255 V3 HOR ESP,Boqueron Centro Horario Especial,2A,Directa Centro,Rápido San Cristóbal,824802.9242,1191390.2711,-75.66044556,6.32478872
54,"(824802.9242000002, 1191390.2711000002)",50046,90091001,90091,1.0,"CL 112 107-901, Medellin",Reglamentaria,Origen-Destino,255V3,Izquierda Vereda Boquerón - Parque San Cristóbal,2A,Directa No Centro,Rápido San Cristóbal,824802.9242,1191390.2711,-75.66044556,6.32478872
55,"(824823.6411000006, 1186714.4855)",50047,90330001,90330,1.0,"CL 63 x CR 153, Medellin",Reglamentaria,Origen-Destino,C23i,El Patio-estación San Javier,8A,Integrada,Tax Maya,824823.6411,1186714.4855,-75.66025065,6.28251745
56,"(825017.9270000005, 1190953.0131)",50057,90353093,90353,93.0,"CR 151AB x CL 107, Medellin",Reglamentaria,Destino-Origen,255 V3 HOR ESP,Boqueron Centro Horario Especial,2A,Directa Centro,Rápido San Cristóbal,825017.927,1190953.0131,-75.65850216,6.32083605
57,"(825017.9270000005, 1190953.0131)",50057,90091014,90091,14.0,"CR 151AB x CL 107, Medellin",Reglamentaria,Destino-Origen,255V3,Izquierda Vereda Boquerón - Parque San Cristóbal,2A,Directa No Centro,Rápido San Cristóbal,825017.927,1190953.0131,-75.65850216,6.32083605
58,"(825058.8799000004, 1186616.1579)",50061,90330094,90330,94.0,"CL 63 x CR 153, Medellin",Reglamentaria,Destino-Origen,C23i,El Patio-estación San Javier,8A,Integrada,Tax Maya,825058.8799,1186616.1579,-75.65812513,6.2816289
59,"(825133.6505, 1190544.1723)",50066,90353003,90353,3.0,"CR 151AB 100A-63, Medellin",Reglamentaria,Origen-Destino,255 V3 HOR ESP,Boqueron Centro Horario Especial,2A,Directa Centro,Rápido San Cristóbal,825133.6505,1190544.1723,-75.65745587,6.31714012
60,"(825133.6505, 1190544.1723)",50066,90090003,90090,3.0,"CR 151AB 100A-63, Medellin",Reglamentaria,Origen-Destino,255V3 ,Derecha Vereda Boquerón - Parque San Cristóbal,2A,Directa No Centro,Rápido San Cristóbal,825133.6505,1190544.1723,-75.65745587,6.31714012
61,"(825134.3455, 1190565.3859)",50067,90353092,90353,92.0,"CR 151AB x CL 99AB, Medellin",Reglamentaria,Destino-Origen,255 V3 HOR ESP,Boqueron Centro Horario Especial,2A,Directa Centro,Rápido San Cristóbal,825134.3455,1190565.3859,-75.65744963,6.3173319
62,"(825134.3455, 1190565.3859)",50067,90091013,90091,13.0,"CR 151AB x CL 99AB, Medellin",Reglamentaria,Destino-Origen,255V3,Izquierda Vereda Boquerón - Parque San Cristóbal,2A,Directa No Centro,Rápido San Cristóbal,825134.3455,1190565.3859,-75.65744963,6.3173319
63,"(825213.9636, 1186555.3828000003)",50073,90330003,90330,3.0,"CL 63 x CR 153, Medellin",Reglamentaria,Origen-Destino,C23i,El Patio-estación San Javier,8A,Integrada,Tax Maya,825213.9636,1186555.3828,-75.65672386,6.28107971
